businessentityid,jobtitle,vacationhours,employee_with_fewest_vacation_hours,fewest_vacation_hours
134,Production Supervisor - WC20,40,134,40
152,Production Supervisor - WC20,41,134,40
180,Production Supervisor - WC20,42,134,40
166,Production Supervisor - WC30,68,166,68
145,Production Supervisor - WC30,69,166,68
71,Production Supervisor - WC30,70,166,68
192,Production Supervisor - WC40,71,192,71
78,Production Supervisor - WC40,72,192,71
127,Production Supervisor - WC40,73,192,71
160,Production Supervisor - WC45,74,160,74
186,Production Supervisor - WC45,75,160,74
205,Production Supervisor - WC45,76,160,74
108,Production Supervisor - WC50,77,108,77
93,Production Supervisor - WC50,78,108,77
55,Production Supervisor - WC50,79,108,77
27,Production Supervisor - WC60,80,27,80
62,Production Supervisor - WC60,81,27,80
40,Production Supervisor - WC60,82,27,80
48,Production Technician - WC10,83,48,83
50,Production Technician - WC10,84,48,83
51,Production Technician - WC10,85,48,83
52,Production Technician - WC10,86,48,83
53,Production Technician - WC10,87,48,83
49,Production Technician - WC10,88,48,83
54,Production Technician - WC10,89,48,83
105,Production Technician - WC10,90,48,83
107,Production Technician - WC10,91,48,83
106,Production Technician - WC10,92,48,83
103,Production Technician - WC10,93,48,83
104,Production Technician - WC10,94,48,83
91,Production Technician - WC10,95,48,83
89,Production Technician - WC10,96,48,83
90,Production Technician - WC10,97,48,83
92,Production Technician - WC10,98,48,83
88,Production Technician - WC10,99,48,83
139,Production Technician - WC20,0,139,0
141,Production Technician - WC20,1,139,0
143,Production Technician - WC20,2,139,0
142,Production Technician - WC20,3,139,0
136,Production Technician - WC20,4,139,0
140,Production Technician - WC20,5,139,0
144,Production Technician - WC20,6,139,0
138,Production Technician - WC20,7,139,0
137,Production Technician - WC20,8,139,0
135,Production Technician - WC20,9,139,0
154,Production Technician - WC20,10,139,0
156,Production Technician - WC20,11,139,0
157,Production Technician - WC20,12,139,0
159,Production Technician - WC20,13,139,0
158,Production Technician - WC20,14,139,0
153,Production Technician - WC20,15,139,0
155,Production Technician - WC20,16,139,0
183,Production Technician - WC20,17,139,0
184,Production Technician - WC20,18,139,0
185,Production Technician - WC20,19,139,0
181,Production Technician - WC20,20,139,0
182,Production Technician - WC20,21,139,0
172,Production Technician - WC30,22,172,22
175,Production Technician - WC30,23,172,22
177,Production Technician - WC30,24,172,22
167,Production Technician - WC30,25,172,22
170,Production Technician - WC30,26,172,22
178,Production Technician - WC30,27,172,22
174,Production Technician - WC30,28,172,22
176,Production Technician - WC30,29,172,22
179,Production Technician - WC30,30,172,22
169,Production Technician - WC30,31,172,22
171,Production Technician - WC30,32,172,22
173,Production Technician - WC30,33,172,22
168,Production Technician - WC30,34,172,22
150,Production Technician - WC30,35,172,22
146,Production Technician - WC30,36,172,22
147,Production Technician - WC30,37,172,22
148,Production Technician - WC30,38,172,22
149,Production Technician - WC30,39,172,22
151,Production Technician - WC30,40,172,22
72,Production Technician - WC30,41,172,22
73,Production Technician - WC30,42,172,22
74,Production Technician - WC30,43,172,22
75,Production Technician - WC30,44,172,22
76,Production Technician - WC30,45,172,22
77,Production Technician - WC30,46,172,22
194,Production Technician - WC40,47,194,47
197,Production Technician - WC40,48,194,47
198,Production Technician - WC40,49,194,47
202,Production Technician - WC40,50,194,47
203,Production Technician - WC40,51,194,47
193,Production Technician - WC40,52,194,47
196,Production Technician - WC40,53,194,47
199,Production Technician - WC40,54,194,47
201,Production Technician - WC40,55,194,47
200,Production Technician - WC40,56,194,47
204,Production Technician - WC40,57,194,47
195,Production Technician - WC40,58,194,47
86,Production Technician - WC40,59,194,47
79,Production Technician - WC40,60,194,47
83,Production Technician - WC40,61,194,47
82,Production Technician - WC40,62,194,47
85,Production Technician - WC40,63,194,47
81,Production Technician - WC40,64,194,47
80,Production Technician - WC40,65,194,47
84,Production Technician - WC40,66,194,47
132,Production Technician - WC40,67,194,47
128,Production Technician - WC40,68,194,47
129,Production Technician - WC40,69,194,47
133,Production Technician - WC40,70,194,47
130,Production Technician - WC40,71,194,47
131,Production Technician - WC40,72,194,47
164,Production Technician - WC45,73,164,73
161,Production Technician - WC45,74,164,73
162,Production Technician - WC45,75,164,73
165,Production Technician - WC45,76,164,73
163,Production Technician - WC45,77,164,73
191,Production Technician - WC45,78,164,73
187,Production Technician - WC45,79,164,73
188,Production Technician - WC45,80,164,73
189,Production Technician - WC45,81,164,73
190,Production Technician - WC45,82,164,73
210,Production Technician - WC45,83,164,73
206,Production Technician - WC45,84,164,73
207,Production Technician - WC45,85,164,73
208,Production Technician - WC45,86,164,73
209,Production Technician - WC45,87,164,73
97,Production Technician - WC50,0,97,0
95,Production Technician - WC50,1,97,0
99,Production Technician - WC50,2,97,0
101,Production Technician - WC50,3,97,0
98,Production Technician - WC50,4,97,0
96,Production Technician - WC50,5,97,0
94,Production Technician - WC50,6,97,0
100,Production Technician - WC50,7,97,0
61,Production Technician - WC50,8,97,0
56,Production Technician - WC50,9,97,0
57,Production Technician - WC50,10,97,0
58,Production Technician - WC50,11,97,0
59,Production Technician - WC50,12,97,0
60,Production Technician - WC50,13,97,0
118,Production Technician - WC50,88,97,0
120,Production Technician - WC50,89,97,0
110,Production Technician - WC50,90,97,0
112,Production Technician - WC50,91,97,0
115,Production Technician - WC50,92,97,0
111,Production Technician - WC50,93,97,0
119,Production Technician - WC50,94,97,0
109,Production Technician - WC50,95,97,0
113,Production Technician - WC50,96,97,0
114,Production Technician - WC50,97,97,0
116,Production Technician - WC50,98,97,0
117,Production Technician - WC50,99,97,0
30,Production Technician - WC60,14,30,14
34,Production Technician - WC60,15,30,14
37,Production Technician - WC60,16,30,14
33,Production Technician - WC60,17,30,14
31,Production Technician - WC60,18,30,14
29,Production Technician - WC60,19,30,14
36,Production Technician - WC60,20,30,14
28,Production Technician - WC60,21,30,14
35,Production Technician - WC60,22,30,14
32,Production Technician - WC60,23,30,14
38,Production Technician - WC60,24,30,14
39,Production Technician - WC60,25,30,14
64,Production Technician - WC60,26,30,14
68,Production Technician - WC60,27,30,14
66,Production Technician - WC60,28,30,14
65,Production Technician - WC60,29,30,14
63,Production Technician - WC60,30,30,14
69,Production Technician - WC60,31,30,14
67,Production Technician - WC60,32,30,14
70,Production Technician - WC60,33,30,14
43,Production Technician - WC60,34,30,14
41,Production Technician - WC60,35,30,14
46,Production Technician - WC60,36,30,14
45,Production Technician - WC60,37,30,14
44,Production Technician - WC60,38,30,14
42,Production Technician - WC60,39,30,14
260,Purchasing Assistant,50,260,50
261,Purchasing Assistant,51,260,50
250,Purchasing Manager,49,250,49
211,Quality Assurance Manager,80,211,80
212,Quality Assurance Supervisor,81,212,81
216,Quality Assurance Technician,82,216,82
215,Quality Assurance Technician,83,216,82
214,Quality Assurance Technician,84,216,82
213,Quality Assurance Technician,85,216,82
240,Recruiter,49,240,49
238,Recruiter,50,240,49
8,Research and Development Engineer,62,8,62
9,Research and Development Engineer,63,8,62
10,Research and Development Manager,16,10,16
7,Research and Development Manager,61,10,16
280,Sales Representative,22,280,22
283,Sales Representative,23,280,22
277,Sales Representative,24,280,22
281,Sales Representative,26,280,22
276,Sales Representative,27,280,22
279,Sales Representative,29,280,22
282,Sales Representative,31,280,22
278,Sales Representative,33,280,22
290,Sales Representative,34,280,22
288,Sales Representative,35,280,22
286,Sales Representative,36,280,22
289,Sales Representative,37,280,22
275,Sales Representative,38,280,22
284,Sales Representative,39,280,22
224,Scheduling Assistant,45,224,45
223,Scheduling Assistant,46,224,45
225,Scheduling Assistant,47,224,45
226,Scheduling Assistant,48,224,45
14,Senior Design Engineer,3,14,3
11,Senior Tool Designer,7,11,7
4,Senior Tool Designer,48,11,7
125,Shipping and Receiving Clerk,94,125,94
123,Shipping and Receiving Clerk,95,125,94
121,Shipping and Receiving Supervisor,93,121,93
126,Stocker,96,126,96
122,Stocker,97,126,96
124,Stocker,98,126,96
13,Tool Designer,8,13,8
12,Tool Designer,9,13,8
2,Vice President of Engineering,1,2,1
25,Vice President of Production,64,25,64
273,Vice President of Sales,10,273,10
