customerid,salespersonid,average,sum
30060,277.0,9305.3800500000000000,55832.2803
30059,286.0,36351.934850000000,145407.7394
30058,278.0,1392.3413125000000000,11138.7305
30057,279.0,1018.0940800000000000,5090.4704
30056,276.0,35218.628500000000,140874.5140
30055,275.0,32481.278900000000,194887.6734
30055,277.0,39753.940150000000,79507.8803
30054,277.0,4405.8243000000000000,17623.2972
30053,278.0,1880.4036000000000000,5641.2108
30052,276.0,4853.4972250000000000,19413.9889
30051,284.0,40962.971625000000,163851.8865
30050,287.0,71884.607800000000,71884.6078
30050,282.0,69676.619742857143,487736.3382
30049,290.0,51160.975200000000,409287.8016
30048,289.0,75319.986562500000,602559.8925
30047,276.0,4133.4223000000000000,28933.9561
30046,275.0,56436.713533333333,338620.2812
30046,277.0,39908.124350000000,79816.2487
30045,280.0,48541.831300000000,48541.8313
30045,284.0,33080.794400000000,99242.3832
30044,287.0,53170.047900000000,53170.0479
30044,282.0,29554.740766666667,88664.2223
30043,290.0,40027.693687500000,320221.5495
30042,282.0,1957.0440000000000000,7828.1760
30042,289.0,604.0097714285714286,4228.0684
30041,279.0,1209.4108000000000000,2418.8216
30040,276.0,469.7940000000000000,939.5880
30039,275.0,6439.3077333333333333,38635.8464
30039,277.0,5490.9719500000000000,10981.9439
30038,286.0,745.7547250000000000,2983.0189
30037,278.0,5687.8714000000000000,45502.9712
30036,276.0,406.8188000000000000,1220.4564
30035,275.0,4693.1706000000000000,18772.6824
30034,284.0,6171.0375000000000000,24684.1500
30033,276.0,1120.3692250000000000,4481.4769
30032,275.0,1236.1553500000000000,2472.3107
30031,284.0,2588.7837250000000000,10355.1349
30030,287.0,7735.2962500000000000,15470.5925
30030,282.0,7576.2129000000000000,45457.2774
30029,289.0,7595.1940250000000000,60761.5522
30028,276.0,2934.9698500000000000,11739.8794
30027,276.0,5630.7954750000000000,22523.1819
30026,290.0,11698.921800000000,81892.4526
30026,287.0,6556.4700000000000000,6556.4700
30025,282.0,29.6670000000000000,59.3340
30024,274.0,4424.9400000000000000,4424.9400
30024,284.0,1974.7285000000000000,5924.1855
30023,275.0,822.3605400000000000,4111.8027
30023,277.0,2952.2699500000000000,5904.5399
30022,276.0,2900.0089363636363636,31900.0983
30021,289.0,2819.2995000000000000,11277.1980
30020,287.0,13938.8700000000000000,13938.8700
30020,290.0,17395.815300000000,52187.4459
30019,287.0,1502.9869000000000000,1502.9869
30019,282.0,2950.2804000000000000,20651.9628
30018,284.0,290.2991000000000000,1741.7946
30018,280.0,630.7041000000000000,1261.4082
30017,279.0,3650.7798500000000000,14603.1194
30016,278.0,1229.4589000000000000,1229.4589
30015,285.0,16317.5880000000000000,16317.5880
30015,286.0,14248.765700000000,42746.2971
30014,277.0,17107.770425000000,68431.0817
30013,279.0,5002.4281666666666667,15007.2845
30012,276.0,1620.9830571428571429,11346.8814
30011,279.0,7578.1768636363636364,83359.9455
30010,278.0,647.1264500000000000,1294.2529
30009,277.0,15433.574583333333,92601.4475
30009,275.0,16179.890400000000,32359.7808
30008,275.0,2228.5200000000000000,11142.6000
30007,289.0,3347.2517750000000000,26778.0142
30006,290.0,721.9296333333333333,2165.7889
30005,282.0,23902.086000000000,47804.1720
30005,287.0,24684.625600000000,49369.2512
30004,284.0,437.8156333333333333,1313.4469
30004,280.0,26940.327225000000,107761.3089
30003,277.0,4072.4880000000000000,8144.9760
30003,275.0,1286.4439000000000000,2572.8878
30002,277.0,473.3760000000000000,1893.5040
30001,288.0,769.0860000000000000,1538.1720
30000,289.0,59102.381712500000,472819.0537
29999,279.0,323.0434800000000000,1615.2174
29998,281.0,88701.311925000000,354805.2477
29997,283.0,67068.264937500000,536546.1195
29996,277.0,33607.770900000000,201646.6254
29996,274.0,48693.975100000000,48693.9751
29996,275.0,36304.538000000000,36304.5380
29995,288.0,84439.182900000000,337756.7316
29994,282.0,36561.930350000000,146247.7214
29994,289.0,73068.874062500000,584550.9925
29993,279.0,443.1079000000000000,1772.4316
29992,274.0,42653.941100000000,42653.9411
29992,281.0,35126.993800000000,386396.9318
29991,284.0,796.4639571428571429,5575.2477
29990,282.0,801.7265400000000000,4008.6327
29990,287.0,672.2940000000000000,672.2940
29989,290.0,433.1835000000000000,1732.7340
29988,289.0,4210.4155750000000000,16841.6623
29988,282.0,1246.4396000000000000,4985.7584
29987,276.0,94803.536466666667,284410.6094
29987,274.0,70731.371300000000,70731.3713
29986,287.0,8724.1741000000000000,8724.1741
29986,290.0,3854.3678285714285714,26980.5748
29985,287.0,11230.8644000000000000,22461.7288
29985,282.0,6653.0653833333333333,39918.3923
29984,290.0,5104.3149500000000000,20417.2598
29983,289.0,2347.4781375000000000,18779.8251
29982,276.0,2886.5251181818181818,31751.7763
29981,280.0,12180.5697500000000000,24361.1395
29981,284.0,10214.3828833333333333,61286.2973
29980,282.0,404.5982500000000000,1618.3930
29979,287.0,10284.1936000000000000,10284.1936
29979,290.0,7963.5760000000000000,23890.7280
29978,282.0,221.9850000000000000,443.9700
29977,290.0,3727.7840000000000000,11183.3520
29977,287.0,1544.9700000000000000,1544.9700
29976,279.0,4290.7379250000000000,17162.9517
29975,276.0,5660.9603250000000000,45287.6826
29974,275.0,41.9940000000000000,41.9940
29974,277.0,19356.649700000000,77426.5988
29973,277.0,3557.2245000000000000,7114.4490
29973,275.0,4647.7529800000000000,23238.7649
29972,286.0,14624.670000000000,43874.0100
29972,285.0,17746.2521000000000000,17746.2521
29971,278.0,1412.7805000000000000,8476.6830
29970,286.0,6665.4075250000000000,26661.6301
29969,278.0,4161.7566833333333333,24970.5401
29968,279.0,13556.474727272727,149121.2220
29967,277.0,36558.389950000000,146233.5598
29966,275.0,51133.477916666667,306800.8675
29966,277.0,38454.538050000000,230727.2283
29965,286.0,2226.0360000000000000,6678.1080
29964,278.0,35485.411925000000,141941.6477
29963,279.0,18607.116241666667,223285.3949
29962,277.0,2587.6738000000000000,5175.3476
29962,275.0,903.8658166666666667,5423.1949
29961,275.0,11051.6784000000000000,66310.0704
29961,277.0,1145.9439250000000000,4583.7757
29960,286.0,1064.4042000000000000,4257.6168
29959,278.0,785.9729875000000000,6287.7839
29958,279.0,17149.887622222222,154348.9886
29957,276.0,79528.308725000000,636226.4698
29956,277.0,44844.993250000000,89689.9865
29956,275.0,34023.200050000000,204139.2003
29955,277.0,26622.773033333333,159736.6382
29955,275.0,35653.637916666667,213921.8275
29954,275.0,33145.685500000000,66291.3710
29954,277.0,56769.989900000000,113539.9798
29953,280.0,40399.577900000000,40399.5779
29953,284.0,30183.172200000000,90549.5166
29952,282.0,1539.1409400000000000,7695.7047
29951,290.0,14281.244342857143,99968.7104
29950,282.0,28221.071025000000,112884.2841
29950,289.0,35583.623325000000,284668.9866
29949,274.0,2458.9178000000000000,2458.9178
29949,276.0,368.7580428571428571,2581.3063
29948,275.0,3323.0156000000000000,9969.0468
29947,277.0,22533.268166666667,135199.6090
29947,275.0,42844.619850000000,85689.2397
29946,278.0,19175.295787500000,153402.3663
29945,279.0,15074.121309090909,165815.3344
29944,276.0,2573.2292000000000000,7719.6876
29943,275.0,976.8496000000000000,2930.5488
29942,284.0,37147.013175000000,148588.0527
29941,282.0,39239.291500000000,156957.1660
29940,290.0,97760.147325000000,391040.5893
29939,289.0,2511.0228750000000000,10044.0915
29938,276.0,31012.227216666667,372146.7266
29937,275.0,23045.564600000000,46091.1292
29937,277.0,46162.509300000000,92325.0186
29936,284.0,1177.1232250000000000,4708.4929
29935,276.0,33582.599562500000,268660.7965
29934,289.0,202.3320000000000000,202.3320
29933,290.0,186.7840000000000000,560.3520
29932,282.0,50472.165825000000,201888.6633
29931,284.0,28883.318975000000,115533.2759
29930,277.0,473.4800500000000000,1893.9202
29930,275.0,45.0000000000000000,45.0000
29929,276.0,43667.763475000000,349342.1078
29928,289.0,22969.781000000000,91879.1240
29927,290.0,336.3168000000000000,1681.5840
29927,287.0,1387.4737500000000000,2774.9475
29926,282.0,1466.0100000000000000,2932.0200
29926,287.0,356.8980000000000000,356.8980
29925,280.0,32368.157120000000,161840.7856
29925,284.0,236.2530000000000000,472.5060
29924,276.0,71504.389012500000,572035.1121
29923,290.0,109230.413700000000,436921.6548
29922,282.0,27953.175533333333,83859.5266
29922,287.0,33631.898200000000,33631.8982
29921,280.0,48314.667700000000,193258.6708
29920,277.0,787.7956000000000000,1575.5912
29920,275.0,325.9854666666666667,1955.9128
29919,276.0,57092.434325000000,456739.4746
29918,289.0,31448.449800000000,125793.7992
29917,288.0,51876.024400000000,103752.0488
29917,287.0,58372.320000000000,116744.6400
29916,277.0,59963.279750000000,239853.1190
29915,280.0,23821.190671428571,166748.3347
29915,283.0,2739.6983000000000000,5479.3966
29914,281.0,1975.2620666666666667,5925.7862
29913,276.0,83952.253687500000,671618.0295
29912,279.0,20459.650925000000,81838.6037
29911,278.0,32094.027400000000,128376.1096
29910,289.0,36529.356850000000,292234.8548
29909,290.0,31746.607225000000,253972.8578
29908,282.0,155.3000000000000000,465.9000
29907,284.0,28225.061975000000,112900.2479
29906,277.0,21872.838750000000,87491.3550
29905,282.0,629.1883500000000000,1258.3767
29904,282.0,37755.471600000000,302043.7728
29903,280.0,3147.5673000000000000,3147.5673
29903,284.0,1871.8882500000000000,11231.3295
29902,275.0,306.8160000000000000,920.4480
29902,277.0,397.1233500000000000,794.2467
29901,276.0,35657.569725000000,427890.8367
29900,289.0,379.4697500000000000,758.9395
29899,290.0,33209.592000000000,132838.3680
29898,280.0,37209.423725000000,148837.6949
29897,281.0,3231.8747083333333333,38782.4965
29896,279.0,36701.339450000000,293610.7156
29895,289.0,39772.199062500000,318177.5925
29894,288.0,29138.310000000000,116553.2400
29893,281.0,1020.5940000000000000,1020.5940
29892,289.0,550.6735000000000000,2753.3675
29892,282.0,24779.464775000000,99117.8591
29891,277.0,30320.689450000000,181924.1367
29891,275.0,33222.340050000000,66444.6801
29890,283.0,1642.1711375000000000,13137.3691
29889,281.0,35871.510812500000,286972.0865
29888,279.0,32951.094241666667,395413.1309
29887,288.0,2145.7365000000000000,8582.9460
29886,275.0,57.6808000000000000,57.6808
29885,283.0,48389.793850000000,387118.3508
29884,275.0,67.5390000000000000,67.5390
29883,276.0,17440.262860000000,87201.3143
29882,279.0,563.6938250000000000,2254.7753
29881,278.0,556.3320000000000000,2225.3280
29880,279.0,16142.382916666667,193708.5950
29879,289.0,3706.3888625000000000,29651.1109
29878,288.0,7304.5893500000000000,29218.3574
29877,276.0,14693.767250000000,58775.0690
29876,289.0,4787.8925000000000000,19151.5700
29875,290.0,1345.9055166666666667,8075.4331
29874,282.0,5651.5261750000000000,22606.1047
29873,280.0,6066.4671000000000000,6066.4671
29873,284.0,4868.7946857142857143,34081.5628
29872,275.0,253.5240000000000000,507.0480
29872,277.0,2137.0605750000000000,8548.2423
29871,276.0,5321.7645250000000000,21287.0581
29870,289.0,672.2940000000000000,672.2940
29869,290.0,4187.7005000000000000,20938.5025
29869,287.0,2515.7205333333333333,7547.1616
29868,282.0,3304.9860000000000000,13219.9440
29867,280.0,86.5212000000000000,86.5212
29867,274.0,40.3730000000000000,40.3730
29867,284.0,3438.6876600000000000,17193.4383
29866,275.0,323.9940000000000000,323.9940
29866,277.0,8051.4366600000000000,40257.1833
29865,274.0,5255.3088000000000000,5255.3088
29865,276.0,5748.7990363636363636,63236.7894
29864,289.0,1199.9991142857142857,8399.9938
29863,289.0,3056.2197500000000000,12224.8790
29862,276.0,183.9382000000000000,183.9382
29861,277.0,102120.861625000000,408483.4465
29860,282.0,200.0520000000000000,200.0520
29859,277.0,2573.1609500000000000,5146.3219
29858,284.0,107.9880000000000000,107.9880
29858,280.0,1395.3769500000000000,2790.7539
29857,282.0,489.2755200000000000,2446.3776
29856,290.0,6829.2072125000000000,54633.6577
29855,289.0,719.5904000000000000,1439.1808
29855,282.0,2024.9940000000000000,2024.9940
29854,275.0,1601.9730000000000000,6407.8920
29853,276.0,38930.803875000000,311446.4310
29852,289.0,357.2536000000000000,714.5072
29851,282.0,1409.5192800000000000,7047.5964
29850,275.0,1859.0670000000000000,7436.2680
29849,279.0,781.8635166666666667,4691.1811
29849,274.0,600.2625000000000000,600.2625
29848,275.0,1186.9840000000000000,3560.9520
29847,276.0,467.3302666666666667,2803.9816
29846,279.0,8416.7020666666666667,101000.4248
29845,287.0,1701.4860000000000000,1701.4860
29845,288.0,936.5028000000000000,4682.5140
29844,277.0,38401.715400000000,230410.2924
29844,275.0,28616.363233333333,171698.1794
29843,280.0,53994.490575000000,215977.9623
29842,281.0,13886.829620000000,138868.2962
29841,279.0,28112.107750000000,112448.4310
29840,289.0,563.9600000000000000,1691.8800
29839,288.0,798.0927250000000000,3192.3709
29838,277.0,529.2500166666666667,3175.5001
29838,275.0,379.4670000000000000,379.4670
29837,287.0,3088.5979000000000000,6177.1958
29837,288.0,1534.0788666666666667,9204.4732
29836,277.0,67466.195300000000,134932.3906
29836,275.0,62022.145150000000,124044.2903
29835,283.0,747.0304000000000000,5229.2128
29834,281.0,35376.057908333333,424512.6949
29833,279.0,1437.9037750000000000,5751.6151
29832,289.0,198.0360000000000000,198.0360
29832,274.0,469.7940000000000000,469.7940
29831,278.0,352.3860000000000000,352.3860
29830,278.0,3402.2173500000000000,34022.1735
29829,286.0,741.2336333333333333,2223.7009
29829,285.0,445.4100000000000000,445.4100
29828,277.0,13183.755666666667,79102.5340
29828,275.0,39534.473200000000,79068.9464
29827,275.0,72886.630666666667,437319.7840
29827,277.0,45757.496400000000,274544.9784
29826,274.0,383.0520000000000000,383.0520
29826,276.0,1094.0805000000000000,6564.4830
29825,279.0,35225.550191666667,422706.6023
29824,278.0,9858.2920777777777778,88724.6287
29823,285.0,31604.671000000000,31604.6710
29823,286.0,24661.820000000000,73985.4600
29822,278.0,31277.409812500000,250219.2785
29821,285.0,27568.494000000000,27568.4940
29821,286.0,25984.129200000000,77952.3876
29820,277.0,26742.858575000000,106971.4343
29819,275.0,472.3283333333333333,1416.9850
29819,277.0,1051.5921000000000000,2103.1842
29818,276.0,77869.317345454545,856562.4908
29818,274.0,20544.701500000000,20544.7015
29817,279.0,30159.885825000000,120639.5433
29816,283.0,3149.9374250000000000,25199.4994
29815,281.0,10772.2308750000000000,86177.8470
29814,279.0,5545.4322500000000000,22181.7290
29813,282.0,12190.4640000000000000,48761.8560
29812,288.0,944.7266500000000000,7557.8132
29811,277.0,3345.6822333333333333,20074.0934
29811,275.0,21876.160366666667,131256.9622
29810,283.0,9147.0058833333333333,109764.0706
29809,281.0,11816.855225000000,94534.8418
29808,279.0,3750.0868000000000000,11250.2604
29807,282.0,17287.577350000000,69150.3094
29806,274.0,2321.2620000000000000,2321.2620
29806,283.0,2402.9205000000000000,7208.7615
29805,281.0,7514.9143625000000000,60119.3149
29804,279.0,4513.8480000000000000,18055.3920
29803,274.0,4070.6880000000000000,8141.3760
29803,282.0,9941.7377500000000000,19883.4755
29803,289.0,8293.4189250000000000,66347.3514
29802,288.0,144.0000000000000000,144.0000
29801,277.0,6085.6182250000000000,24342.4729
29800,283.0,3233.9779800000000000,16169.8899
29799,281.0,10924.7738000000000000,43699.0952
29798,279.0,8283.1888375000000000,66265.5107
29797,289.0,6537.6920625000000000,52301.5365
29796,282.0,70675.330525000000,282701.3221
29795,290.0,18444.354012500000,147554.8321
29794,282.0,17813.205025000000,71252.8201
29793,276.0,67052.321500000000,268209.2860
29792,275.0,38139.895720000000,190699.4786
29792,274.0,23097.018200000000,23097.0182
29792,277.0,40296.655400000000,80593.3108
29791,275.0,13927.676050000000,55710.7042
29790,286.0,200.0520000000000000,200.0520
29789,278.0,23183.185266666667,278198.2232
29788,274.0,1466.0100000000000000,1466.0100
29788,276.0,649.4266333333333333,3896.5598
29787,283.0,24776.545366666667,148659.2722
29786,290.0,26439.700071428571,185077.9005
29786,287.0,24617.245300000000,24617.2453
29785,282.0,887.7872500000000000,1775.5745
29785,289.0,132.7500000000000000,265.5000
29784,276.0,10411.5261125000000000,83292.2089
29783,276.0,38634.676300000000,309077.4104
29782,277.0,150.1219000000000000,300.2438
29782,275.0,339.7375000000000000,339.7375
29781,276.0,3690.9997000000000000,29527.9976
29780,289.0,6179.8522125000000000,49438.8177
29779,290.0,9871.0789250000000000,39484.3157
29778,282.0,5623.7506875000000000,44990.0055
29777,290.0,1037.3490000000000000,2074.6980
29776,282.0,25820.703800000000,103282.8152
29775,284.0,1113.5747142857142857,7795.0230
29775,280.0,65.6018000000000000,65.6018
29774,277.0,43875.539350000000,175502.1574
29773,280.0,21294.270300000000,85177.0812
29772,275.0,64868.110650000000,389208.6639
29772,277.0,98658.141750000000,197316.2835
29771,276.0,1617.5375333333333333,4852.6126
29771,274.0,2927.7262000000000000,2927.7262
29770,289.0,55482.728050000000,443861.8244
29769,277.0,20343.056475000000,81372.2259
29768,276.0,419.4589000000000000,419.4589
29767,279.0,24.2940000000000000,24.2940
29766,278.0,699.8940000000000000,1399.7880
29765,277.0,1530.7980000000000000,1530.7980
29765,275.0,1195.7407500000000000,2391.4815
29764,277.0,870.7363000000000000,3482.9452
29764,274.0,4194.5890000000000000,4194.5890
29764,275.0,440.0940000000000000,1320.2820
29763,276.0,91.1760000000000000,91.1760
29762,279.0,7379.7418000000000000,29518.9672
29761,278.0,5035.8565750000000000,60430.2789
29760,286.0,1543.6916333333333333,4631.0749
29759,275.0,8161.5806500000000000,32646.3226
29758,275.0,2472.3107000000000000,2472.3107
29758,274.0,1376.9940000000000000,1376.9940
29758,277.0,79.7790000000000000,159.5580
29757,276.0,4853.0055416666666667,58236.0665
29756,279.0,1422.9074666666666667,8537.4448
29755,278.0,4009.9840333333333333,12029.9521
29755,274.0,12206.3640000000000000,12206.3640
29754,285.0,2860.8840000000000000,2860.8840
29753,283.0,1059.7021375000000000,8477.6171
29752,277.0,972.6468000000000000,2917.9404
29751,288.0,1344.5880000000000000,1344.5880
29750,289.0,3606.1456400000000000,18030.7282
29749,279.0,34428.963450000000,137715.8538
29748,281.0,32900.233850000000,131600.9354
29747,283.0,2057.9201666666666667,18521.2815
29746,277.0,14994.5270000000000000,29989.0540
29746,275.0,25456.865533333333,152741.1932
29745,288.0,2565.3235000000000000,15391.9410
29745,287.0,323.9940000000000000,647.9880
29744,276.0,49876.493287500000,399011.9463
29743,277.0,1239.7189000000000000,2479.4378
29743,275.0,19.5330000000000000,39.0660
29742,280.0,34710.210900000000,138840.8436
29741,282.0,474.8288000000000000,1424.4864
29740,282.0,15607.150975000000,62428.6039
29740,289.0,567.9660000000000000,2271.8640
29739,276.0,28573.607225000000,114294.4289
29738,275.0,46464.898900000000,185859.5956
29737,284.0,37024.573075000000,148098.2923
29736,282.0,83326.217833333333,249978.6535
29736,287.0,71774.181200000000,71774.1812
29735,290.0,429.5220000000000000,1718.0880
29734,289.0,35658.616150000000,285268.9292
29734,282.0,32846.138225000000,131384.5529
29733,276.0,720.4043000000000000,1440.8086
29732,275.0,34653.853350000000,207923.1201
29732,277.0,35244.840450000000,70489.6809
29731,275.0,4654.7823500000000000,27928.6941
29731,277.0,3979.0745666666666667,23874.4474
29730,289.0,1839.6717166666666667,11038.0303
29729,279.0,323.9940000000000000,323.9940
29728,281.0,889.2142000000000000,1778.4284
29727,283.0,44516.662525000000,178066.6501
29726,275.0,1409.3820000000000000,1409.3820
29726,277.0,396.0720000000000000,396.0720
29725,288.0,38441.088350000000,153764.3534
29724,275.0,32064.352016666667,192386.1121
29724,277.0,33645.762650000000,201874.5759
29723,288.0,382.0694000000000000,1528.2776
29722,274.0,62711.103900000000,125422.2078
29722,282.0,86605.740166666667,259817.2205
29722,289.0,65238.477485714286,456669.3424
29721,279.0,3351.7584500000000000,40221.1014
29720,281.0,36971.920475000000,147887.6819
29719,283.0,1112.0023666666666667,6672.0142
29719,274.0,971.9820000000000000,971.9820
29718,275.0,14691.055516666667,88146.3331
29718,277.0,1308.9375000000000000,2617.8750
29717,283.0,11219.8131285714285714,78538.6919
29716,274.0,61206.478200000000,61206.4782
29716,281.0,57481.455181818182,632296.0070
29715,279.0,71154.098291666667,853849.1795
29714,289.0,36316.290475000000,290530.3238
29714,282.0,23465.922950000000,93863.6918
29713,282.0,1294.9527250000000000,5179.8109
29712,290.0,72527.791050000000,580222.3284
29711,282.0,4064.9880000000000000,8129.9760
29711,289.0,1324.4295000000000000,5297.7180
29710,276.0,60753.637450000000,243014.5498
29709,280.0,6700.1106000000000000,6700.1106
29709,284.0,4638.7575000000000000,32471.3025
29708,277.0,15404.129200000000,61616.5168
29707,275.0,103299.684900000000,103299.6849
29707,274.0,79994.174300000000,79994.1743
29707,277.0,38901.478283333333,233408.8697
29706,286.0,37249.126600000000,148996.5064
29705,278.0,40228.225408333333,482738.7049
29704,279.0,41832.873237500000,334662.9859
29703,276.0,51631.852087500000,413054.8167
29702,275.0,33087.801516666667,198526.8091
29702,277.0,32890.077250000000,197340.4635
29701,275.0,123303.576500000000,246607.1530
29701,277.0,83285.062716666667,499710.3763
29700,286.0,931.8520000000000000,2795.5560
29700,285.0,54.9420000000000000,54.9420
29699,278.0,28065.931700000000,112263.7268
29698,282.0,18608.944625000000,74435.7785
29698,289.0,26965.393637500000,215723.1491
29697,279.0,722.5949000000000000,722.5949
29696,281.0,10774.6368250000000000,86197.0946
29695,283.0,52200.718300000000,208802.8732
29694,277.0,1116.7077000000000000,4466.8308
29693,288.0,68013.056425000000,272052.2257
29692,289.0,40627.864087500000,325022.9127
29691,274.0,209.2560000000000000,209.2560
29691,279.0,3383.5798333333333333,20301.4790
29690,281.0,34609.212533333333,415310.5504
29689,283.0,66528.094650000000,532224.7572
29688,277.0,122.6952000000000000,245.3904
29688,275.0,3070.8058000000000000,9212.4174
29687,288.0,6606.8430000000000000,26427.3720
29686,281.0,7195.8862000000000000,28783.5448
29685,279.0,10028.9436333333333333,120347.3236
29684,275.0,15174.789500000000,30349.5790
29684,277.0,8630.9996166666666667,51785.9977
29683,283.0,5033.6122250000000000,40268.8978
29682,281.0,1491.8337250000000000,11934.6698
29681,279.0,2558.0161000000000000,12790.0805
29680,282.0,11696.8905000000000000,46787.5620
29680,289.0,4103.9729000000000000,12311.9187
29680,274.0,2709.6518000000000000,2709.6518
29679,288.0,1234.9531142857142857,8644.6718
29678,279.0,3155.3164625000000000,25242.5317
29677,289.0,4406.0956250000000000,35248.7650
29676,288.0,1807.0871428571428571,12649.6100
29675,277.0,1318.8585000000000000,7913.1510
29675,275.0,5879.6697200000000000,29398.3486
29675,274.0,4254.4500000000000000,4254.4500
29674,277.0,603.7116750000000000,2414.8467
29673,276.0,5585.1898250000000000,22340.7593
29672,279.0,474.2968166666666667,2845.7809
29671,278.0,11604.7013333333333333,34814.1040
29671,274.0,11802.5640000000000000,11802.5640
29670,286.0,7711.4023000000000000,30845.6092
29669,277.0,2669.9920000000000000,16019.9520
29669,275.0,4326.7447500000000000,17306.9790
29669,274.0,3962.2441000000000000,3962.2441
29668,277.0,419.4589000000000000,419.4589
29667,279.0,11829.5169750000000000,47318.0679
29666,278.0,15284.650000000000,45853.9500
29666,274.0,15842.6141000000000000,15842.6141
29665,285.0,752.6340000000000000,752.6340
29665,286.0,2949.7780000000000000,8849.3340
29664,275.0,10669.2435000000000000,42676.9740
29663,275.0,8905.0305000000000000,17810.0610
29663,277.0,12003.3283500000000000,24006.6567
29662,276.0,2139.0369333333333333,6417.1108
29661,279.0,12743.978900000000,76463.8734
29660,276.0,45506.265550000000,182025.0622
29659,277.0,8674.0632400000000000,43370.3162
29659,275.0,270.4181000000000000,540.8362
29658,277.0,36238.963933333333,217433.7836
29658,275.0,37397.878450000000,74795.7569
29657,286.0,376.8840000000000000,753.7680
29657,285.0,1376.9940000000000000,1376.9940
29656,286.0,9767.8689750000000000,39071.4759
29655,275.0,12912.120175000000,51648.4807
29654,277.0,9838.2868500000000000,19676.5737
29654,275.0,4148.7062666666666667,24892.2376
29653,276.0,13582.958800000000,54331.8352
29652,285.0,3671.9580000000000000,3671.9580
29652,286.0,2359.1300000000000000,7077.3900
29651,275.0,36836.779850000000,221020.6791
29651,277.0,28627.320583333333,171763.9235
29650,276.0,480.2540000000000000,1440.7620
29650,274.0,83.9880000000000000,83.9880
29649,278.0,32678.721650000000,261429.7732
29648,286.0,851.2683250000000000,3405.0733
29647,275.0,58459.833400000000,116919.6668
29647,277.0,40022.211583333333,240133.2695
29646,277.0,58695.390150000000,352172.3409
29646,275.0,62516.718066666667,375100.3084
