businessentityid,jobtitle,vacationhours,employee_with_fewest_vacation
48,Production Technician - WC10,83,48
50,Production Technician - WC10,84,48
51,Production Technician - WC10,85,48
52,Production Technician - WC10,86,48
53,Production Technician - WC10,87,48
49,Production Technician - WC10,88,48
54,Production Technician - WC10,89,48
105,Production Technician - WC10,90,48
107,Production Technician - WC10,91,48
106,Production Technician - WC10,92,48
103,Production Technician - WC10,93,48
104,Production Technician - WC10,94,48
91,Production Technician - WC10,95,48
89,Production Technician - WC10,96,48
90,Production Technician - WC10,97,48
92,Production Technician - WC10,98,48
88,Production Technician - WC10,99,48
139,Production Technician - WC20,0,139
141,Production Technician - WC20,1,139
143,Production Technician - WC20,2,139
142,Production Technician - WC20,3,139
136,Production Technician - WC20,4,139
140,Production Technician - WC20,5,139
144,Production Technician - WC20,6,139
138,Production Technician - WC20,7,139
137,Production Technician - WC20,8,139
135,Production Technician - WC20,9,139
154,Production Technician - WC20,10,139
156,Production Technician - WC20,11,139
157,Production Technician - WC20,12,139
159,Production Technician - WC20,13,139
158,Production Technician - WC20,14,139
153,Production Technician - WC20,15,139
155,Production Technician - WC20,16,139
183,Production Technician - WC20,17,139
184,Production Technician - WC20,18,139
185,Production Technician - WC20,19,139
181,Production Technician - WC20,20,139
182,Production Technician - WC20,21,139
172,Production Technician - WC30,22,172
175,Production Technician - WC30,23,172
177,Production Technician - WC30,24,172
167,Production Technician - WC30,25,172
170,Production Technician - WC30,26,172
178,Production Technician - WC30,27,172
174,Production Technician - WC30,28,172
176,Production Technician - WC30,29,172
179,Production Technician - WC30,30,172
169,Production Technician - WC30,31,172
171,Production Technician - WC30,32,172
173,Production Technician - WC30,33,172
168,Production Technician - WC30,34,172
150,Production Technician - WC30,35,172
146,Production Technician - WC30,36,172
147,Production Technician - WC30,37,172
148,Production Technician - WC30,38,172
149,Production Technician - WC30,39,172
151,Production Technician - WC30,40,172
72,Production Technician - WC30,41,172
73,Production Technician - WC30,42,172
74,Production Technician - WC30,43,172
75,Production Technician - WC30,44,172
76,Production Technician - WC30,45,172
77,Production Technician - WC30,46,172
194,Production Technician - WC40,47,194
197,Production Technician - WC40,48,194
198,Production Technician - WC40,49,194
202,Production Technician - WC40,50,194
203,Production Technician - WC40,51,194
193,Production Technician - WC40,52,194
196,Production Technician - WC40,53,194
199,Production Technician - WC40,54,194
201,Production Technician - WC40,55,194
200,Production Technician - WC40,56,194
204,Production Technician - WC40,57,194
195,Production Technician - WC40,58,194
86,Production Technician - WC40,59,194
79,Production Technician - WC40,60,194
83,Production Technician - WC40,61,194
82,Production Technician - WC40,62,194
85,Production Technician - WC40,63,194
81,Production Technician - WC40,64,194
80,Production Technician - WC40,65,194
84,Production Technician - WC40,66,194
132,Production Technician - WC40,67,194
128,Production Technician - WC40,68,194
129,Production Technician - WC40,69,194
133,Production Technician - WC40,70,194
130,Production Technician - WC40,71,194
131,Production Technician - WC40,72,194
164,Production Technician - WC45,73,164
161,Production Technician - WC45,74,164
162,Production Technician - WC45,75,164
165,Production Technician - WC45,76,164
163,Production Technician - WC45,77,164
191,Production Technician - WC45,78,164
187,Production Technician - WC45,79,164
188,Production Technician - WC45,80,164
189,Production Technician - WC45,81,164
190,Production Technician - WC45,82,164
210,Production Technician - WC45,83,164
206,Production Technician - WC45,84,164
207,Production Technician - WC45,85,164
208,Production Technician - WC45,86,164
209,Production Technician - WC45,87,164
97,Production Technician - WC50,0,97
95,Production Technician - WC50,1,97
99,Production Technician - WC50,2,97
101,Production Technician - WC50,3,97
98,Production Technician - WC50,4,97
96,Production Technician - WC50,5,97
94,Production Technician - WC50,6,97
100,Production Technician - WC50,7,97
61,Production Technician - WC50,8,97
56,Production Technician - WC50,9,97
57,Production Technician - WC50,10,97
58,Production Technician - WC50,11,97
59,Production Technician - WC50,12,97
60,Production Technician - WC50,13,97
118,Production Technician - WC50,88,97
120,Production Technician - WC50,89,97
110,Production Technician - WC50,90,97
112,Production Technician - WC50,91,97
115,Production Technician - WC50,92,97
111,Production Technician - WC50,93,97
119,Production Technician - WC50,94,97
109,Production Technician - WC50,95,97
113,Production Technician - WC50,96,97
114,Production Technician - WC50,97,97
116,Production Technician - WC50,98,97
117,Production Technician - WC50,99,97
30,Production Technician - WC60,14,30
34,Production Technician - WC60,15,30
37,Production Technician - WC60,16,30
33,Production Technician - WC60,17,30
31,Production Technician - WC60,18,30
29,Production Technician - WC60,19,30
36,Production Technician - WC60,20,30
28,Production Technician - WC60,21,30
35,Production Technician - WC60,22,30
32,Production Technician - WC60,23,30
38,Production Technician - WC60,24,30
39,Production Technician - WC60,25,30
64,Production Technician - WC60,26,30
68,Production Technician - WC60,27,30
66,Production Technician - WC60,28,30
65,Production Technician - WC60,29,30
63,Production Technician - WC60,30,30
69,Production Technician - WC60,31,30
67,Production Technician - WC60,32,30
70,Production Technician - WC60,33,30
43,Production Technician - WC60,34,30
41,Production Technician - WC60,35,30
46,Production Technician - WC60,36,30
45,Production Technician - WC60,37,30
44,Production Technician - WC60,38,30
42,Production Technician - WC60,39,30
260,Purchasing Assistant,50,260
261,Purchasing Assistant,51,260
250,Purchasing Manager,49,250
211,Quality Assurance Manager,80,211
212,Quality Assurance Supervisor,81,212
216,Quality Assurance Technician,82,216
215,Quality Assurance Technician,83,216
214,Quality Assurance Technician,84,216
213,Quality Assurance Technician,85,216
240,Recruiter,49,240
238,Recruiter,50,240
8,Research and Development Engineer,62,8
9,Research and Development Engineer,63,8
10,Research and Development Manager,16,10
7,Research and Development Manager,61,10
280,Sales Representative,22,280
283,Sales Representative,23,280
277,Sales Representative,24,280
281,Sales Representative,26,280
276,Sales Representative,27,280
279,Sales Representative,29,280
282,Sales Representative,31,280
278,Sales Representative,33,280
290,Sales Representative,34,280
288,Sales Representative,35,280
286,Sales Representative,36,280
289,Sales Representative,37,280
275,Sales Representative,38,280
284,Sales Representative,39,280
224,Scheduling Assistant,45,224
223,Scheduling Assistant,46,224
225,Scheduling Assistant,47,224
226,Scheduling Assistant,48,224
14,Senior Design Engineer,3,14
11,Senior Tool Designer,7,11
4,Senior Tool Designer,48,11
125,Shipping and Receiving Clerk,94,125
123,Shipping and Receiving Clerk,95,125
121,Shipping and Receiving Supervisor,93,121
126,Stocker,96,126
122,Stocker,97,126
124,Stocker,98,126
13,Tool Designer,8,13
12,Tool Designer,9,13
2,Vice President of Engineering,1,2
25,Vice President of Production,64,25
273,Vice President of Sales,10,273
