productmodelid,name,product_count,max,avg,min
67,HL Touring Seat/Saddle,1,52.6400,52.6400000000000000,52.6400
83,ML Road Seat/Saddle 2,1,39.1400,39.1400000000000000,39.1400
63,ML Mountain Pedal,1,62.0900,62.0900000000000000,62.0900
90,HL Road Tire,1,32.6000,32.6000000000000000,32.6000
105,ML Fork,1,175.4900,175.4900000000000000,175.4900
45,ML Mountain Front Wheel,1,209.0250,209.0250000000000000,209.0250
107,Hydration Pack,1,54.9900,54.9900000000000000,54.9900
86,ML Mountain Tire,1,29.9900,29.9900000000000000,29.9900
89,ML Road Tire,1,24.9900,24.9900000000000000,24.9900
93,Road Tire Tube,1,3.9900,3.9900000000000000,3.9900
50,ML Road Front Wheel,1,248.3850,248.3850000000000000,248.3850
102,Front Brakes,1,106.5000,106.5000000000000000,106.5000
66,LL Touring Seat/Saddle,1,27.1200,27.1200000000000000,27.1200
109,Headlights - Dual-Beam,1,34.9900,34.9900000000000000,34.9900
118,Hitch Rack - 4-Bike,1,120.0000,120.0000000000000000,120.0000
111,Water Bottle,1,4.9900,4.9900000000000000,4.9900
2,Cycling Cap,1,8.9900,8.9900000000000000,8.9900
62,LL Mountain Pedal,1,40.4900,40.4900000000000000,40.4900
123,LL Mountain Rear Wheel,1,87.7450,87.7450000000000000,87.7450
128,Rear Brakes,1,106.5000,106.5000000000000000,106.5000
126,LL Road Rear Wheel,1,112.5650,112.5650000000000000,112.5650
99,LL Crankset,1,175.4900,175.4900000000000000,175.4900
46,HL Mountain Front Wheel,1,300.2150,300.2150000000000000,300.2150
53,Touring Pedal,1,80.9900,80.9900000000000000,80.9900
100,ML Crankset,1,256.4900,256.4900000000000000,256.4900
78,HL Road Rear Wheel,1,357.0600,357.0600000000000000,357.0600
94,Touring Tire Tube,1,4.9900,4.9900000000000000,4.9900
87,HL Mountain Tire,1,35.0000,35.0000000000000000,35.0000
49,LL Road Front Wheel,1,85.5650,85.5650000000000000,85.5650
47,LL Touring Handlebars,1,46.0900,46.0900000000000000,46.0900
106,HL Fork,1,229.4900,229.4900000000000000,229.4900
64,HL Mountain Pedal,1,80.9900,80.9900000000000000,80.9900
110,Headlights - Weatherproof,1,44.9900,44.9900000000000000,44.9900
55,HL Mountain Handlebars,1,120.2700,120.2700000000000000,120.2700
58,HL Road Handlebars,1,120.2700,120.2700000000000000,120.2700
122,All-Purpose Bike Stand,1,159.0000,159.0000000000000000,159.0000
116,Minipump,1,19.9900,19.9900000000000000,19.9900
68,LL Road Pedal,1,40.4900,40.4900000000000000,40.4900
51,HL Road Front Wheel,1,330.0600,330.0600000000000000,330.0600
70,HL Road Pedal,1,80.9900,80.9900000000000000,80.9900
80,ML Mountain Seat/Saddle 2,1,39.1400,39.1400000000000000,39.1400
52,LL Mountain Handlebars,1,44.5400,44.5400000000000000,44.5400
84,HL Road Seat/Saddle 2,1,52.6400,52.6400000000000000,52.6400
92,Mountain Tire Tube,1,4.9900,4.9900000000000000,4.9900
101,HL Crankset,1,404.9900,404.9900000000000000,404.9900
69,ML Road Pedal,1,62.0900,62.0900000000000000,62.0900
114,Patch kit,1,2.2900,2.2900000000000000,2.2900
115,Cable Lock,1,25.0000,25.0000000000000000,25.0000
60,ML Headset,1,102.2900,102.2900000000000000,102.2900
97,HL Bottom Bracket,1,121.4900,121.4900000000000000,121.4900
112,Mountain Bottle Cage,1,9.9900,9.9900000000000000,9.9900
108,Taillight,1,13.9900,13.9900000000000000,13.9900
59,LL Headset,1,34.2000,34.2000000000000000,34.2000
65,ML Touring Seat/Saddle,1,39.1400,39.1400000000000000,39.1400
127,Rear Derailleur,1,121.4600,121.4600000000000000,121.4600
124,ML Mountain Rear Wheel,1,236.0250,236.0250000000000000,236.0250
98,Chain,1,20.2400,20.2400000000000000,20.2400
103,Front Derailleur,1,91.4900,91.4900000000000000,91.4900
44,Touring Front Wheel,1,218.0100,218.0100000000000000,218.0100
42,LL Mountain Front Wheel,1,60.7450,60.7450000000000000,60.7450
121,Fender Set - Mountain,1,21.9800,21.9800000000000000,21.9800
117,Mountain Pump,1,24.9900,24.9900000000000000,24.9900
88,LL Road Tire,1,21.4900,21.4900000000000000,21.4900
82,LL Road Seat/Saddle 1,1,27.1200,27.1200000000000000,27.1200
119,Bike Wash,1,7.9500,7.9500000000000000,7.9500
113,Road Bottle Cage,1,8.9900,8.9900000000000000,8.9900
125,HL Mountain Rear Wheel,1,327.2150,327.2150000000000000,327.2150
43,Touring Rear Wheel,1,245.0100,245.0100000000000000,245.0100
120,Touring-Panniers,1,125.0000,125.0000000000000000,125.0000
79,LL Mountain Seat/Saddle 2,1,27.1200,27.1200000000000000,27.1200
48,HL Touring Handlebars,1,91.5700,91.5700000000000000,91.5700
85,LL Mountain Tire,1,24.9900,24.9900000000000000,24.9900
