column_name,data_type,table_name,table_schema
numberchildrenathome,integer,vpersondemographics,sales
education,character varying,vpersondemographics,sales
occupation,character varying,vpersondemographics,sales
homeownerflag,boolean,vpersondemographics,sales
numbercarsowned,integer,vpersondemographics,sales
businessentityid,integer,vsalesperson,sales
title,character varying,vsalesperson,sales
firstname,character varying,vsalesperson,sales
middlename,character varying,vsalesperson,sales
lastname,character varying,vsalesperson,sales
suffix,character varying,vsalesperson,sales
jobtitle,character varying,vsalesperson,sales
phonenumber,character varying,vsalesperson,sales
phonenumbertype,character varying,vsalesperson,sales
emailaddress,character varying,vsalesperson,sales
emailpromotion,integer,vsalesperson,sales
addressline1,character varying,vsalesperson,sales
addressline2,character varying,vsalesperson,sales
city,character varying,vsalesperson,sales
stateprovincename,character varying,vsalesperson,sales
postalcode,character varying,vsalesperson,sales
countryregionname,character varying,vsalesperson,sales
territoryname,character varying,vsalesperson,sales
territorygroup,character varying,vsalesperson,sales
salesquota,numeric,vsalesperson,sales
salesytd,numeric,vsalesperson,sales
saleslastyear,numeric,vsalesperson,sales
SalesPersonID,integer,vsalespersonsalesbyfiscalyears,sales
FullName,text,vsalespersonsalesbyfiscalyears,sales
JobTitle,text,vsalespersonsalesbyfiscalyears,sales
SalesTerritory,text,vsalespersonsalesbyfiscalyears,sales
2012,numeric,vsalespersonsalesbyfiscalyears,sales
2013,numeric,vsalespersonsalesbyfiscalyears,sales
2014,numeric,vsalespersonsalesbyfiscalyears,sales
salespersonid,integer,vsalespersonsalesbyfiscalyearsdata,sales
fullname,text,vsalespersonsalesbyfiscalyearsdata,sales
jobtitle,character varying,vsalespersonsalesbyfiscalyearsdata,sales
salesterritory,character varying,vsalespersonsalesbyfiscalyearsdata,sales
salestotal,numeric,vsalespersonsalesbyfiscalyearsdata,sales
fiscalyear,numeric,vsalespersonsalesbyfiscalyearsdata,sales
businessentityid,integer,vstorewithaddresses,sales
name,character varying,vstorewithaddresses,sales
addresstype,character varying,vstorewithaddresses,sales
addressline1,character varying,vstorewithaddresses,sales
addressline2,character varying,vstorewithaddresses,sales
city,character varying,vstorewithaddresses,sales
stateprovincename,character varying,vstorewithaddresses,sales
postalcode,character varying,vstorewithaddresses,sales
countryregionname,character varying,vstorewithaddresses,sales
businessentityid,integer,vstorewithcontacts,sales
name,character varying,vstorewithcontacts,sales
contacttype,character varying,vstorewithcontacts,sales
title,character varying,vstorewithcontacts,sales
firstname,character varying,vstorewithcontacts,sales
middlename,character varying,vstorewithcontacts,sales
lastname,character varying,vstorewithcontacts,sales
suffix,character varying,vstorewithcontacts,sales
phonenumber,character varying,vstorewithcontacts,sales
phonenumbertype,character varying,vstorewithcontacts,sales
emailaddress,character varying,vstorewithcontacts,sales
emailpromotion,integer,vstorewithcontacts,sales
businessentityid,integer,vstorewithdemographics,sales
name,character varying,vstorewithdemographics,sales
AnnualSales,money,vstorewithdemographics,sales
AnnualRevenue,money,vstorewithdemographics,sales
BankName,character varying,vstorewithdemographics,sales
BusinessType,character varying,vstorewithdemographics,sales
YearOpened,integer,vstorewithdemographics,sales
Specialty,character varying,vstorewithdemographics,sales
SquareFeet,integer,vstorewithdemographics,sales
Brands,character varying,vstorewithdemographics,sales
Internet,character varying,vstorewithdemographics,sales
NumberEmployees,integer,vstorewithdemographics,sales
