table_catalog,table_schema,table_name,table_type
adventureworks,pg_catalog,pg_opclass,BASE TABLE
adventureworks,pg_catalog,pg_operator,BASE TABLE
adventureworks,pg_catalog,pg_opfamily,BASE TABLE
adventureworks,pg_catalog,pg_parameter_acl,BASE TABLE
adventureworks,pg_catalog,pg_partitioned_table,BASE TABLE
adventureworks,pg_catalog,pg_policy,BASE TABLE
adventureworks,pg_catalog,pg_proc,BASE TABLE
adventureworks,pg_catalog,pg_publication,BASE TABLE
adventureworks,pg_catalog,pg_publication_namespace,BASE TABLE
adventureworks,pg_catalog,pg_publication_rel,BASE TABLE
adventureworks,pg_catalog,pg_range,BASE TABLE
adventureworks,pg_catalog,pg_replication_origin,BASE TABLE
adventureworks,pg_catalog,pg_rewrite,BASE TABLE
adventureworks,pg_catalog,pg_seclabel,BASE TABLE
adventureworks,pg_catalog,pg_sequence,BASE TABLE
adventureworks,pg_catalog,pg_shdepend,BASE TABLE
adventureworks,pg_catalog,pg_shdescription,BASE TABLE
adventureworks,pg_catalog,pg_shseclabel,BASE TABLE
adventureworks,pg_catalog,pg_statistic,BASE TABLE
adventureworks,pg_catalog,pg_statistic_ext,BASE TABLE
adventureworks,pg_catalog,pg_statistic_ext_data,BASE TABLE
adventureworks,pg_catalog,pg_subscription,BASE TABLE
adventureworks,pg_catalog,pg_subscription_rel,BASE TABLE
adventureworks,pg_catalog,pg_tablespace,BASE TABLE
adventureworks,pg_catalog,pg_transform,BASE TABLE
adventureworks,pg_catalog,pg_trigger,BASE TABLE
adventureworks,pg_catalog,pg_ts_config,BASE TABLE
adventureworks,pg_catalog,pg_ts_config_map,BASE TABLE
adventureworks,pg_catalog,pg_ts_dict,BASE TABLE
adventureworks,pg_catalog,pg_ts_parser,BASE TABLE
adventureworks,pg_catalog,pg_ts_template,BASE TABLE
adventureworks,pg_catalog,pg_type,BASE TABLE
adventureworks,pg_catalog,pg_user_mapping,BASE TABLE
adventureworks,production,billofmaterials,BASE TABLE
adventureworks,production,culture,BASE TABLE
adventureworks,production,document,BASE TABLE
adventureworks,production,illustration,BASE TABLE
adventureworks,production,location,BASE TABLE
adventureworks,production,product,BASE TABLE
adventureworks,production,productcategory,BASE TABLE
adventureworks,production,productcosthistory,BASE TABLE
adventureworks,production,productdescription,BASE TABLE
adventureworks,production,productdocument,BASE TABLE
adventureworks,production,productinventory,BASE TABLE
adventureworks,production,productlistpricehistory,BASE TABLE
adventureworks,production,productmodel,BASE TABLE
adventureworks,production,productmodelillustration,BASE TABLE
adventureworks,production,productmodelproductdescriptionculture,BASE TABLE
adventureworks,production,productphoto,BASE TABLE
adventureworks,production,productproductphoto,BASE TABLE
adventureworks,production,productreview,BASE TABLE
adventureworks,production,productsubcategory,BASE TABLE
adventureworks,production,scrapreason,BASE TABLE
adventureworks,production,transactionhistory,BASE TABLE
adventureworks,production,transactionhistoryarchive,BASE TABLE
adventureworks,production,unitmeasure,BASE TABLE
adventureworks,production,workorder,BASE TABLE
adventureworks,production,workorderrouting,BASE TABLE
adventureworks,purchasing,productvendor,BASE TABLE
adventureworks,purchasing,purchaseorderdetail,BASE TABLE
adventureworks,purchasing,purchaseorderheader,BASE TABLE
adventureworks,purchasing,shipmethod,BASE TABLE
adventureworks,purchasing,vendor,BASE TABLE
adventureworks,sales,countryregioncurrency,BASE TABLE
adventureworks,sales,creditcard,BASE TABLE
adventureworks,sales,currency,BASE TABLE
adventureworks,sales,currencyrate,BASE TABLE
adventureworks,sales,customer,BASE TABLE
adventureworks,sales,personcreditcard,BASE TABLE
adventureworks,sales,salesorderdetail,BASE TABLE
adventureworks,sales,salesorderheader,BASE TABLE
adventureworks,sales,salesorderheadersalesreason,BASE TABLE
adventureworks,sales,salesperson,BASE TABLE
adventureworks,sales,salespersonquotahistory,BASE TABLE
adventureworks,sales,salesreason,BASE TABLE
adventureworks,sales,salestaxrate,BASE TABLE
adventureworks,sales,salesterritory,BASE TABLE
adventureworks,sales,salesterritoryhistory,BASE TABLE
adventureworks,sales,shoppingcartitem,BASE TABLE
adventureworks,sales,specialoffer,BASE TABLE
adventureworks,sales,specialofferproduct,BASE TABLE
adventureworks,sales,store,BASE TABLE
