productid,name,productnumber,makeflag,finishedgoodsflag,color,safetystocklevel,reorderpoint,standardcost,listprice,size,sizeunitmeasurecode,weightunitmeasurecode,weight,daystomanufacture,productline,class,style,productsubcategoryid,productmodelid,sellstartdate,sellenddate,discontinueddate,rowguid,modifieddate,salesorderid,salesorderdetailid,carriertrackingnumber,orderqty,specialofferid,unitprice,unitpricediscount
,Lock Nut 19,LN-9080,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 1,LI-6000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 9,LN-1428,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 21,HN-5818,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Hub,HU-6280,True,False,,500,375,0.0000,0.0000,,,,,1,,L ,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 9,LW-7160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Chainring Bolts,CB-2903,False,False,Silver,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 15,LJ-3410,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 3,LI-1000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"Men's Sports Shorts, XL",SH-M897-X,False,True,Black,4,3,24.7459,59.9900,XL,,,,0,S ,,M ,22.0,13.0,2023-05-30,2024-05-28,,,,,,,,,,
,Thin-Jam Hex Nut 1,HJ-1420,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 3,LW-8000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Guide Pulley,GP-0982,False,False,,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 5,FW-7160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Freewheel,FH-2981,False,False,Silver,500,375,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 8,LW-3800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 7,MS-1981,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 4,LE-1200,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Mountain Rim,RM-M464,False,False,,800,600,0.0000,0.0000,,,G  ,435.00,0,,L ,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 4,MS-2259,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 6,HN-1032,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Mountain Seat Assembly,SA-M237,True,False,,500,375,108.9900,147.1400,,,,,1,,M ,,,,2019-04-30,,,,,,,,,,,
,"LL Road Frame - Black, 48",FR-R38B-48,True,True,Black,500,375,204.6251,337.2200,48,CM ,LB ,2.36,1,R ,L ,U ,14.0,9.0,2022-05-30,,,,,,,,,,,
,Thin-Jam Lock Nut 14,LJ-5818,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 5,HJ-3816,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Seat Stays,SS-2985,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,"HL Road Frame - Black, 62",FR-R92B-62,True,True,Black,500,375,868.6342,1431.5000,62,CM ,LB ,2.30,1,R ,H ,U ,14.0,6.0,2023-05-30,,,,,,,,,,,
,Lock Washer 11,LW-9160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Hub,HU-8998,True,False,,500,375,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Lower Head Race,LR-8520,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Ring,LR-2398,False,False,Silver,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 3,HJ-5161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 3,HN-6320,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 6,LJ-3824,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Road Seat Assembly,SA-R522,True,False,,500,375,145.8700,196.9200,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Taillights - Battery-Powered,LT-T990,False,True,,4,3,5.7709,13.9900,,,,,0,R ,,,33.0,108.0,2023-05-30,2024-05-28,,,,,,,,,,
,Thin-Jam Lock Nut 13,LJ-5811,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Road Front Wheel,FW-R623,True,True,Black,500,375,37.9909,85.5650,,,G  ,900.00,1,R ,L ,,17.0,49.0,2023-05-30,2024-05-28,,,,,,,,,,
,Hex Nut 18,HN-9161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Rear Derailleur Cage,RC-0291,False,False,Silver,500,375,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Paint - Red,PA-361R,False,False,,60,45,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Crankarm,CA-7457,False,False,Black,500,375,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Seat Post,SP-2981,False,False,,500,375,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 8,LJ-7162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Handlebar Tube,HT-2981,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 6,HJ-3824,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Crankarm,CA-5965,False,False,Black,500,375,0.0000,0.0000,,,,,0,,L ,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 16,LN-1213,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 2,LI-8000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Grip Tape,GT-2908,False,False,,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Decal 2,DC-9824,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 8,LN-1420,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Paint - Black,PA-187B,False,False,,60,45,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 7,LI-3800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 16,LJ-3416,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Fork,FK-5136,True,True,,500,375,77.9176,175.4900,,,,,1,,M ,,10.0,105.0,2023-05-30,2024-05-28,,,,,,,,,,
,Hex Nut 16,HN-1213,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 3,LE-1000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Paint - Silver,PA-529S,False,False,,60,45,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 11,HJ-9161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Tension Pulley,TP-0923,False,False,,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"LL Road Frame - Red, 58",FR-R38R-58,True,True,Red,500,375,187.1571,337.2200,58,CM ,LB ,2.46,1,R ,L ,U ,14.0,9.0,2022-05-30,2024-05-28,,,,,,,,,,
,Lock Nut 14,LN-7161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 3,MS-1256,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Crankarm,CA-6738,False,False,Black,500,375,0.0000,0.0000,,,,,0,,M ,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 7,LW-5160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 14,HJ-5818,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Touring Front Wheel,FW-T905,True,True,Black,500,375,96.7964,218.0100,,,,,1,T ,,,17.0,44.0,2023-05-30,2024-05-28,,,,,,,,,,
,Thin-Jam Hex Nut 2,HJ-1428,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Grip Tape,GT-0820,False,False,,800,600,0.0000,0.0000,,,,,0,,L ,,,,2019-04-30,,,,,,,,,,,
,LL Mountain Seat Assembly,SA-M198,True,False,,500,375,98.7700,133.3400,,,,,1,,L ,,,,2019-04-30,,,,,,,,,,,
,Road End Caps,EC-R098,True,False,,1000,750,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Steerer,SR-2098,True,False,,500,375,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 21,LN-5818,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 20,HN-5811,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 6,LN-1032,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 5,LN-1024,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 6,MS-2348,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 7,FW-9160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 15,HJ-3410,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 1,FW-1000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 1,LE-6000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 23,LN-3416,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 7,LJ-7161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 6,LI-5160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"Touring-Panniers, Large",PA-T100,False,True,Grey,4,3,51.5625,125.0000,,,,,0,T ,,,35.0,120.0,2023-05-30,2024-05-28,,,,,,,,,,
,Hex Nut 2,HN-5400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 12,LN-3816,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Front Derailleur Cage,FC-3982,False,False,Silver,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 1,HN-4402,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Top Tube,TO-2301,True,False,,500,375,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,ML Road Rim,RM-R600,False,False,,800,600,0.0000,0.0000,,,G  ,450.00,0,,M ,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 3,LJ-5161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Reflector,RF-9198,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Blade,BL-2036,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,LL Touring Seat Assembly,SA-T467,True,False,,500,375,98.7700,133.3400,,,,,1,,L ,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 17,HN-1220,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"HL Road Frame - Red, 56",FR-R92R-56,True,True,Red,500,375,868.6342,1431.5000,56,CM ,LB ,2.24,1,R ,H ,U ,14.0,6.0,2022-05-30,,,,,,,,,,,
,Thin-Jam Hex Nut 13,HJ-5811,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"LL Road Frame - Black, 62",FR-R38B-62,True,True,Black,500,375,204.6251,337.2200,62,CM ,LB ,2.50,1,R ,L ,U ,14.0,9.0,2022-05-30,,,,,,,,,,,
,Lock Nut 15,LN-7162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 5,LW-1200,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Front Derailleur Linkage,FL-2301,False,False,Silver,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 4,HN-8320,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"ML Road Frame - Red, 60",FR-R72R-60,True,True,Red,500,375,352.1394,594.8300,60,CM ,LB ,2.38,1,R ,M ,U ,14.0,16.0,2022-05-30,2023-05-29,,,,,,,,,,
,Metal Bar 1,MB-2024,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Touring Rim,RM-T801,False,False,,800,600,0.0000,0.0000,,,G  ,460.00,0,,,,,,2019-04-30,,,,,,,,,,,
,Mountain Pump,PU-M044,False,True,,4,3,10.3084,24.9900,,,,,0,M ,,,36.0,117.0,2023-05-30,2024-05-28,,,,,,,,,,
,External Lock Washer 5,LE-1400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 18,LN-9161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Stem,SM-9087,True,False,,500,375,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 17,LN-1220,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 13,HN-3824,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 14,HN-7161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Touring Seat Assembly,SA-T612,True,False,,500,375,108.9900,147.1400,,,,,1,,M ,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 10,LN-5161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Plate 3,MP-4960,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"ML Road Frame - Red, 58",FR-R72R-58,True,True,Red,500,375,352.1394,594.8300,58,CM ,LB ,2.36,1,R ,M ,U ,14.0,16.0,2022-05-30,2023-05-29,,,,,,,,,,
,Fork Crown,FC-3654,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 15,HN-7162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 10,HN-5161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 10,LI-5800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Mountain Rim,RM-M823,False,False,,800,600,0.0000,0.0000,,,G  ,400.00,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 4,LW-1000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 1,MS-6061,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Mountain Seat Assembly,SA-M687,True,False,,500,375,145.8700,196.9200,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,"HL Road Frame - Black, 52",FR-R92B-52,True,True,Black,500,375,868.6342,1431.5000,52,CM ,LB ,2.20,1,R ,H ,U ,14.0,6.0,2023-05-30,,,,,,,,,,,
,"HL Road Frame - Red, 52",FR-R92R-52,True,True,Red,500,375,868.6342,1431.5000,52,CM ,LB ,2.20,1,R ,H ,U ,14.0,6.0,2022-05-30,,,,,,,,,,,
,Lock Washer 13,LW-3400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Keyed Washer,KW-4091,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 8,HN-1420,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 8,FW-5800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Road Seat Assembly,SA-R127,True,False,,500,375,98.7700,133.3400,,,,,1,,L ,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 8,LE-7160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.3100,1431.5000,58,CM ,LB ,2.24,1,R ,H ,U ,14.0,6.0,2019-04-30,,,,,,,,,,,
,Flat Washer 6,FW-1200,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,LL Shell,SH-4562,False,False,,800,600,0.0000,0.0000,,,,,0,,L ,,,,2019-04-30,,,,,,,,,,,
,Crown Race,CR-9981,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Chainring,CR-7833,False,False,Black,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 4,HJ-5162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 11,LN-5162,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 7,LE-3800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Headset Ball Bearings,BE-2908,False,False,,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
