businessentityid,quotadate,salesquota,rn
281,2024-05-29,935000.0000,9
281,2024-08-29,684000.0000,10
281,2024-11-29,614000.0000,11
281,2025-02-28,724000.0000,12
282,2022-05-30,525000.0000,1
282,2022-08-30,767000.0000,2
282,2022-11-30,583000.0000,3
282,2023-02-28,583000.0000,4
282,2023-05-30,496000.0000,5
282,2023-08-30,452000.0000,6
282,2023-11-30,288000.0000,7
282,2024-02-28,247000.0000,8
282,2024-05-29,1051000.0000,9
282,2024-08-29,707000.0000,10
282,2024-11-29,569000.0000,11
282,2025-02-28,830000.0000,12
283,2022-05-30,226000.0000,1
283,2022-08-30,353000.0000,2
283,2022-11-30,280000.0000,3
283,2023-02-28,267000.0000,4
283,2023-05-30,483000.0000,5
283,2023-08-30,341000.0000,6
283,2023-11-30,151000.0000,7
283,2024-02-28,284000.0000,8
283,2024-05-29,631000.0000,9
283,2024-08-29,372000.0000,10
283,2024-11-29,234000.0000,11
283,2025-02-28,403000.0000,12
284,2023-08-30,321000.0000,1
284,2023-11-30,281000.0000,2
284,2024-02-28,304000.0000,3
284,2024-05-29,516000.0000,4
284,2024-08-29,380000.0000,5
284,2024-11-29,454000.0000,6
284,2025-02-28,497000.0000,7
285,2024-05-29,132000.0000,1
285,2024-08-29,40000.0000,2
285,2024-11-29,7000.0000,3
285,2025-02-28,26000.0000,4
286,2024-05-29,478000.0000,1
286,2024-08-29,389000.0000,2
286,2024-11-29,399000.0000,3
286,2025-02-28,421000.0000,4
287,2023-05-30,93000.0000,1
287,2023-08-30,15000.0000,2
287,2023-11-30,33000.0000,3
287,2024-02-28,110000.0000,4
287,2024-05-29,184000.0000,5
287,2024-08-29,324000.0000,6
287,2024-11-29,116000.0000,7
287,2025-02-28,1000.0000,8
288,2024-05-29,728000.0000,1
288,2024-08-29,566000.0000,2
288,2024-11-29,366000.0000,3
288,2025-02-28,627000.0000,4
289,2023-05-30,1898000.0000,1
289,2023-08-30,1262000.0000,2
289,2023-11-30,938000.0000,3
289,2024-02-28,1279000.0000,4
289,2024-05-29,1506000.0000,5
289,2024-08-29,1419000.0000,6
289,2024-11-29,883000.0000,7
289,2025-02-28,1329000.0000,8
290,2023-05-30,593000.0000,1
290,2023-08-30,409000.0000,2
290,2023-11-30,217000.0000,3
290,2024-02-28,404000.0000,4
290,2024-05-29,1262000.0000,5
290,2024-08-29,1057000.0000,6
290,2024-11-29,707000.0000,7
290,2025-02-28,908000.0000,8
