businessentityid,jobtitle,vacationhours,rownum
152,Production Supervisor - WC20,41,2
180,Production Supervisor - WC20,42,3
166,Production Supervisor - WC30,68,1
145,Production Supervisor - WC30,69,2
71,Production Supervisor - WC30,70,3
192,Production Supervisor - WC40,71,1
78,Production Supervisor - WC40,72,2
127,Production Supervisor - WC40,73,3
160,Production Supervisor - WC45,74,1
186,Production Supervisor - WC45,75,2
205,Production Supervisor - WC45,76,3
108,Production Supervisor - WC50,77,1
93,Production Supervisor - WC50,78,2
55,Production Supervisor - WC50,79,3
27,Production Supervisor - WC60,80,1
62,Production Supervisor - WC60,81,2
40,Production Supervisor - WC60,82,3
48,Production Technician - WC10,83,1
50,Production Technician - WC10,84,2
51,Production Technician - WC10,85,3
52,Production Technician - WC10,86,4
53,Production Technician - WC10,87,5
49,Production Technician - WC10,88,6
54,Production Technician - WC10,89,7
105,Production Technician - WC10,90,8
107,Production Technician - WC10,91,9
106,Production Technician - WC10,92,10
103,Production Technician - WC10,93,11
104,Production Technician - WC10,94,12
91,Production Technician - WC10,95,13
89,Production Technician - WC10,96,14
90,Production Technician - WC10,97,15
92,Production Technician - WC10,98,16
88,Production Technician - WC10,99,17
139,Production Technician - WC20,0,1
141,Production Technician - WC20,1,2
143,Production Technician - WC20,2,3
142,Production Technician - WC20,3,4
136,Production Technician - WC20,4,5
140,Production Technician - WC20,5,6
144,Production Technician - WC20,6,7
138,Production Technician - WC20,7,8
137,Production Technician - WC20,8,9
135,Production Technician - WC20,9,10
154,Production Technician - WC20,10,11
156,Production Technician - WC20,11,12
157,Production Technician - WC20,12,13
159,Production Technician - WC20,13,14
158,Production Technician - WC20,14,15
153,Production Technician - WC20,15,16
155,Production Technician - WC20,16,17
183,Production Technician - WC20,17,18
184,Production Technician - WC20,18,19
185,Production Technician - WC20,19,20
181,Production Technician - WC20,20,21
182,Production Technician - WC20,21,22
172,Production Technician - WC30,22,1
175,Production Technician - WC30,23,2
177,Production Technician - WC30,24,3
167,Production Technician - WC30,25,4
170,Production Technician - WC30,26,5
178,Production Technician - WC30,27,6
174,Production Technician - WC30,28,7
176,Production Technician - WC30,29,8
179,Production Technician - WC30,30,9
169,Production Technician - WC30,31,10
171,Production Technician - WC30,32,11
173,Production Technician - WC30,33,12
168,Production Technician - WC30,34,13
150,Production Technician - WC30,35,14
146,Production Technician - WC30,36,15
147,Production Technician - WC30,37,16
148,Production Technician - WC30,38,17
149,Production Technician - WC30,39,18
151,Production Technician - WC30,40,19
72,Production Technician - WC30,41,20
73,Production Technician - WC30,42,21
74,Production Technician - WC30,43,22
75,Production Technician - WC30,44,23
76,Production Technician - WC30,45,24
77,Production Technician - WC30,46,25
194,Production Technician - WC40,47,1
197,Production Technician - WC40,48,2
198,Production Technician - WC40,49,3
202,Production Technician - WC40,50,4
203,Production Technician - WC40,51,5
193,Production Technician - WC40,52,6
196,Production Technician - WC40,53,7
199,Production Technician - WC40,54,8
201,Production Technician - WC40,55,9
200,Production Technician - WC40,56,10
204,Production Technician - WC40,57,11
195,Production Technician - WC40,58,12
86,Production Technician - WC40,59,13
79,Production Technician - WC40,60,14
83,Production Technician - WC40,61,15
82,Production Technician - WC40,62,16
85,Production Technician - WC40,63,17
81,Production Technician - WC40,64,18
80,Production Technician - WC40,65,19
84,Production Technician - WC40,66,20
132,Production Technician - WC40,67,21
128,Production Technician - WC40,68,22
129,Production Technician - WC40,69,23
133,Production Technician - WC40,70,24
130,Production Technician - WC40,71,25
131,Production Technician - WC40,72,26
164,Production Technician - WC45,73,1
161,Production Technician - WC45,74,2
162,Production Technician - WC45,75,3
165,Production Technician - WC45,76,4
163,Production Technician - WC45,77,5
191,Production Technician - WC45,78,6
187,Production Technician - WC45,79,7
188,Production Technician - WC45,80,8
189,Production Technician - WC45,81,9
190,Production Technician - WC45,82,10
210,Production Technician - WC45,83,11
206,Production Technician - WC45,84,12
207,Production Technician - WC45,85,13
208,Production Technician - WC45,86,14
209,Production Technician - WC45,87,15
97,Production Technician - WC50,0,1
95,Production Technician - WC50,1,2
99,Production Technician - WC50,2,3
101,Production Technician - WC50,3,4
98,Production Technician - WC50,4,5
96,Production Technician - WC50,5,6
94,Production Technician - WC50,6,7
100,Production Technician - WC50,7,8
61,Production Technician - WC50,8,9
56,Production Technician - WC50,9,10
57,Production Technician - WC50,10,11
58,Production Technician - WC50,11,12
59,Production Technician - WC50,12,13
60,Production Technician - WC50,13,14
118,Production Technician - WC50,88,15
120,Production Technician - WC50,89,16
110,Production Technician - WC50,90,17
112,Production Technician - WC50,91,18
115,Production Technician - WC50,92,19
111,Production Technician - WC50,93,20
119,Production Technician - WC50,94,21
109,Production Technician - WC50,95,22
113,Production Technician - WC50,96,23
114,Production Technician - WC50,97,24
116,Production Technician - WC50,98,25
117,Production Technician - WC50,99,26
30,Production Technician - WC60,14,1
34,Production Technician - WC60,15,2
37,Production Technician - WC60,16,3
33,Production Technician - WC60,17,4
31,Production Technician - WC60,18,5
29,Production Technician - WC60,19,6
36,Production Technician - WC60,20,7
28,Production Technician - WC60,21,8
35,Production Technician - WC60,22,9
32,Production Technician - WC60,23,10
38,Production Technician - WC60,24,11
39,Production Technician - WC60,25,12
64,Production Technician - WC60,26,13
68,Production Technician - WC60,27,14
66,Production Technician - WC60,28,15
65,Production Technician - WC60,29,16
63,Production Technician - WC60,30,17
69,Production Technician - WC60,31,18
67,Production Technician - WC60,32,19
70,Production Technician - WC60,33,20
43,Production Technician - WC60,34,21
41,Production Technician - WC60,35,22
46,Production Technician - WC60,36,23
45,Production Technician - WC60,37,24
44,Production Technician - WC60,38,25
42,Production Technician - WC60,39,26
260,Purchasing Assistant,50,1
261,Purchasing Assistant,51,2
250,Purchasing Manager,49,1
211,Quality Assurance Manager,80,1
212,Quality Assurance Supervisor,81,1
216,Quality Assurance Technician,82,1
215,Quality Assurance Technician,83,2
214,Quality Assurance Technician,84,3
213,Quality Assurance Technician,85,4
240,Recruiter,49,1
238,Recruiter,50,2
8,Research and Development Engineer,62,1
9,Research and Development Engineer,63,2
10,Research and Development Manager,16,1
7,Research and Development Manager,61,2
280,Sales Representative,22,1
283,Sales Representative,23,2
277,Sales Representative,24,3
281,Sales Representative,26,4
276,Sales Representative,27,5
279,Sales Representative,29,6
282,Sales Representative,31,7
278,Sales Representative,33,8
290,Sales Representative,34,9
288,Sales Representative,35,10
286,Sales Representative,36,11
289,Sales Representative,37,12
275,Sales Representative,38,13
284,Sales Representative,39,14
224,Scheduling Assistant,45,1
223,Scheduling Assistant,46,2
225,Scheduling Assistant,47,3
226,Scheduling Assistant,48,4
14,Senior Design Engineer,3,1
11,Senior Tool Designer,7,1
4,Senior Tool Designer,48,2
125,Shipping and Receiving Clerk,94,1
123,Shipping and Receiving Clerk,95,2
121,Shipping and Receiving Supervisor,93,1
126,Stocker,96,1
122,Stocker,97,2
124,Stocker,98,3
13,Tool Designer,8,1
12,Tool Designer,9,2
2,Vice President of Engineering,1,1
25,Vice President of Production,64,1
273,Vice President of Sales,10,1
