productmodelid,product_model_name,product_count,min_price,max_price,avg_price,max_to_avg_ratio
82,LL Road Seat/Saddle 1,1,27.1200,27.1200,27.12,1.00
119,Bike Wash,1,7.9500,7.9500,7.95,1.00
113,Road Bottle Cage,1,8.9900,8.9900,8.99,1.00
125,HL Mountain Rear Wheel,1,327.2150,327.2150,327.22,1.00
43,Touring Rear Wheel,1,245.0100,245.0100,245.01,1.00
9,LL Road Frame,12,337.2200,337.2200,337.22,1.00
120,Touring-Panniers,1,125.0000,125.0000,125.00,1.00
79,LL Mountain Seat/Saddle 2,1,27.1200,27.1200,27.12,1.00
48,HL Touring Handlebars,1,91.5700,91.5700,91.57,1.00
26,Road-250,8,2443.3500,2443.3500,2443.35,1.00
85,LL Mountain Tire,1,24.9900,24.9900,24.99,1.00
95,LL Bottom Bracket,1,53.9900,53.9900,53.99,1.00
57,ML Road Handlebars,1,61.9200,61.9200,61.92,1.00
81,HL Mountain Seat/Saddle 2,1,52.6400,52.6400,52.64,1.00
61,HL Headset,1,124.7300,124.7300,124.73,1.00
19,Mountain-100,8,3374.9900,3399.9900,3387.49,1.00
77,ML Road Rear Wheel,1,275.3850,275.3850,275.39,1.00
30,Road-650,12,782.9900,782.9900,782.99,1.00
21,Mountain-300,4,1079.9900,1079.9900,1079.99,1.00
3,Full-Finger Gloves,3,37.9900,37.9900,37.99,1.00
17,ML Road Frame-W,5,594.8300,594.8300,594.83,1.00
37,Women's Mountain Shorts,3,69.9900,69.9900,69.99,1.00
28,Road-450,5,1457.9900,1457.9900,1457.99,1.00
104,LL Fork,1,148.2200,148.2200,148.22,1.00
56,LL Road Handlebars,1,44.5400,44.5400,44.54,1.00
91,Touring Tire,1,28.9900,28.9900,28.99,1.00
54,ML Mountain Handlebars,1,61.9200,61.9200,61.92,1.00
29,Road-550-W,5,1120.4900,1120.4900,1120.49,1.00
4,Half-Finger Gloves,3,24.4900,24.4900,24.49,1.00
34,Touring-1000,8,2384.0700,2384.0700,2384.07,1.00
96,ML Bottom Bracket,1,101.2400,101.2400,101.24,1.00
67,HL Touring Seat/Saddle,1,52.6400,52.6400,52.64,1.00
83,ML Road Seat/Saddle 2,1,39.1400,39.1400,39.14,1.00
63,ML Mountain Pedal,1,62.0900,62.0900,62.09,1.00
90,HL Road Tire,1,32.6000,32.6000,32.60,1.00
10,LL Touring Frame,10,333.4200,333.4200,333.42,1.00
35,Touring-2000,4,1214.8500,1214.8500,1214.85,1.00
105,ML Fork,1,175.4900,175.4900,175.49,1.00
45,ML Mountain Front Wheel,1,209.0250,209.0250,209.03,1.00
107,Hydration Pack,1,54.9900,54.9900,54.99,1.00
6,HL Road Frame,11,1431.5000,1431.5000,1431.50,1.00
86,ML Mountain Tire,1,29.9900,29.9900,29.99,1.00
89,ML Road Tire,1,24.9900,24.9900,24.99,1.00
93,Road Tire Tube,1,3.9900,3.9900,3.99,1.00
36,Touring-3000,10,742.3500,742.3500,742.35,1.00
31,Road-750,4,539.9900,539.9900,539.99,1.00
50,ML Road Front Wheel,1,248.3850,248.3850,248.39,1.00
102,Front Brakes,1,106.5000,106.5000,106.50,1.00
14,ML Mountain Frame,3,348.7600,348.7600,348.76,1.00
66,LL Touring Seat/Saddle,1,27.1200,27.1200,27.12,1.00
109,Headlights - Dual-Beam,1,34.9900,34.9900,34.99,1.00
13,Men's Sports Shorts,4,59.9900,59.9900,59.99,1.00
118,Hitch Rack - 4-Bike,1,120.0000,120.0000,120.00,1.00
111,Water Bottle,1,4.9900,4.9900,4.99,1.00
2,Cycling Cap,1,8.9900,8.9900,8.99,1.00
16,ML Road Frame,5,594.8300,594.8300,594.83,1.00
62,LL Mountain Pedal,1,40.4900,40.4900,40.49,1.00
123,LL Mountain Rear Wheel,1,87.7450,87.7450,87.75,1.00
128,Rear Brakes,1,106.5000,106.5000,106.50,1.00
126,LL Road Rear Wheel,1,112.5650,112.5650,112.57,1.00
99,LL Crankset,1,175.4900,175.4900,175.49,1.00
46,HL Mountain Front Wheel,1,300.2150,300.2150,300.22,1.00
53,Touring Pedal,1,80.9900,80.9900,80.99,1.00
32,Short-Sleeve Classic Jersey,4,53.9900,53.9900,53.99,1.00
7,HL Touring Frame,8,1003.9100,1003.9100,1003.91,1.00
100,ML Crankset,1,256.4900,256.4900,256.49,1.00
38,Women's Tights,3,74.9900,74.9900,74.99,1.00
12,Men's Bib-Shorts,3,89.9900,89.9900,89.99,1.00
78,HL Road Rear Wheel,1,357.0600,357.0600,357.06,1.00
24,Racing Socks,2,8.9900,8.9900,8.99,1.00
25,Road-150,5,3578.2700,3578.2700,3578.27,1.00
94,Touring Tire Tube,1,4.9900,4.9900,4.99,1.00
87,HL Mountain Tire,1,35.0000,35.0000,35.00,1.00
49,LL Road Front Wheel,1,85.5650,85.5650,85.57,1.00
47,LL Touring Handlebars,1,46.0900,46.0900,46.09,1.00
33,Sport-100,3,34.9900,34.9900,34.99,1.00
1,Classic Vest,3,63.5000,63.5000,63.50,1.00
106,HL Fork,1,229.4900,229.4900,229.49,1.00
18,Mountain Bike Socks,2,9.5000,9.5000,9.50,1.00
64,HL Mountain Pedal,1,80.9900,80.9900,80.99,1.00
110,Headlights - Weatherproof,1,44.9900,44.9900,44.99,1.00
55,HL Mountain Handlebars,1,120.2700,120.2700,120.27,1.00
27,Road-350-W,4,1700.9900,1700.9900,1700.99,1.00
58,HL Road Handlebars,1,120.2700,120.2700,120.27,1.00
122,All-Purpose Bike Stand,1,159.0000,159.0000,159.00,1.00
116,Minipump,1,19.9900,19.9900,19.99,1.00
68,LL Road Pedal,1,40.4900,40.4900,40.49,1.00
51,HL Road Front Wheel,1,330.0600,330.0600,330.06,1.00
70,HL Road Pedal,1,80.9900,80.9900,80.99,1.00
